"Mountain"	"Elevation"	"Latitude"	"Longitude"
"Červená hora"	749.0	49.77661666666667	17.541150000000002
"Javorník"	684.0	50.69146666666666	15.080466666666666
"Tisovník"	590.0	49.2948	13.88
"Kunratický vrch"	509.0	50.81305	14.426116666666667
"Oltářní kámen"	469.0	50.88356666666667	14.3237
"Vlčí hřeben"	1140.0	50.73255	15.509683333333333
"Beskydek"	953.0	49.3929	18.405483333333333
"Lopušná"	913.0	49.33891666666667	18.346033333333335
"Velenecký vrch"	822.0	48.682883333333336	14.339466666666667
"Mezivrata"	713.0	49.6021	14.671016666666667
"Šedina"	473.0	50.569116666666666	14.590633333333333
"Nedvězí"	458.0	50.50705	14.5292
"Česlar"	922.0	49.62305	18.820566666666668
"Stráže"	742.0	48.9948	14.135883333333334
"Rozhled"	707.0	50.3221	12.867683333333334
"Jánský vrch"	697.0	50.611266666666666	15.98885
"Fidlův kopec"	680.0	49.62043333333333	17.5055
"U Rozhledny"	669.0	49.51081666666666	16.38425
"Bezný"	658.0	49.37535	13.035116666666667
"Císařský kámen"	637.0	50.713166666666666	15.1044
"Tanečnice"	597.0	50.96618333333333	14.320483333333334
"Vysoký Ostrý"	587.0	50.636433333333336	14.080216666666667
"Nad Skálou"	438.0	49.26286666666667	16.912033333333333
"Slunečná"	996.0	49.11428333333333	13.40175
"Ovčí vrch"	966.0	50.0729	17.331033333333334
"Mezihořský vrch"	916.0	50.5532	13.37275
"Stržový vrch"	710.0	50.86866666666667	15.091083333333334
"Chlumská hora"	656.0	48.808483333333335	14.519833333333333
"Hradisko"	636.0	48.85485	17.560883333333333
"Plešivec"	597.0	50.87018333333333	14.509866666666667
"Mladý háj"	535.0	49.1257	17.8463
"Větrník"	510.0	48.8857	15.8606
"Želenický vrch"	456.0	50.51955	13.731616666666667
"Kamenický kopec"	436.0	50.689	14.6706
"Přední kout"	410.0	48.97091666666667	16.77955
"Zaječí vrch"	1009.0	50.39008333333334	12.722633333333333
"Nad Skalným"	880.0	48.77738333333333	14.141333333333334
"Hora"	675.0	49.363033333333334	13.5193
"Věncová hora"	652.0	48.8612	14.3912
"Špička"	531.0	49.974916666666665	13.863566666666667
"Vlková"	521.0	49.8851	14.602916666666667
"Plešivec"	509.0	50.56596666666667	14.088166666666666
"Klucanina"	415.0	49.34446666666667	16.443066666666667
"Střížovický vrch"	348.0	50.67561666666667	14.003466666666666
"Antýgl"	1254.0	49.048	13.535966666666667
"Černá hora"	1085.0	50.827083333333334	15.209933333333334
"Mikulčin vrch"	799.0	48.94525	17.808683333333335
"Kamenný vrch"	739.0	49.61151666666667	12.666116666666667
"Kozinec"	608.0	50.5177	15.5487
"Kohout"	589.0	50.709966666666666	14.3121
"Strážný"	584.0	49.97966666666667	16.476116666666666
"Vysoká"	451.0	50.266333333333336	17.574533333333335
